"Part";"Value";"Device";"Package";"Description";"ALTERNATEPARTNUMBER";"APPLICATION_BUILDNUMBER";"AVAILABILITY";"CENTROID_NOT_SPECIFIED";"COMPTYPE";"DATASHEET";"DATASHEETURL";"DCR";"DESCRIPTION";"DIELECTRIC";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"HOUSEPART";"IDC";"L";"LABEL01";"LABEL02";"LABEL03";"LABEL04";"LABEL05";"LAND_PATTERN";"LEAD_FREE";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFG_PACKAGE_IDENT";"MOUNTTYPE";"MOUSER_PART_NUMBER";"MPN";"PACKAGE";"PACKAGEREFERENCE";"PARTNUMBER";"PIN_COUNT";"POPULATE";"PREFIX";"PRICE";"REFDES";"ROHS";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TOLERANCE";"TYPE";"URL";"VALUE";"VENDOR";"VOLTAGE";"WATTAGE";
"C1";"1uF 0603";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0603-1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"1uF 0603";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0603-1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"1uF 0603";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0603-1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"1uF 0603";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0603-1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"0.1uF";"CAPACITOR_NP_0402";"C0402";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0402-0.1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"0.1uF";"CAPACITOR_NP_0402";"C0402";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0402-0.1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"CAPACITOR_NP_0402";"C0402";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0402-0.1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"0.1uF";"CAPACITOR_NP_0402";"C0402";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0402-0.1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"CAPACITOR_NP_0402";"C0402";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0402-0.1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"0.1uF";"CAPACITOR_NP_0402";"C0402";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0402-0.1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C15";"1uF 0603";"CAPACITOR_NP_0603";"C0603";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"";"YES";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MF-CAP-0603-1uF";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";
